포천 루아 프리미엄 무인호텔	0	2.0	9.4	0.0	0	1361.2920	90152.6502
넘버 25 호텔 동암	0	2.0	9.8	0.0	1	1370.9936	33659.2222
의왕 밀로스 호텔	0	2.0	9.2	0.0	0	364.2981	72212.5760
의왕 마요트호텔	0	2.0	9.2	0.0	0	436.7795	82258.5144
킹호텔	0	2.5	5.6	75712.0	0	1170.5557	89641.3716
마리호텔	0	2.0	8.0	0.0	0	867.0029	74510.3059
인천 비욘드 호텔	0	2.0	8.8	97895.0	0	1766.5892	74626.6981
미타스야 료칸 호텔 인천 바이 아늑	0	2.0	8.8	97895.0	1	3055.4653	52654.5526
호텔 카카오	0	2.5	8.4	0.0	1	831.9151	82452.8268
아늑 호텔 인천 구월점	0	2.5	8.4	0.0	0	3203.7646	49737.7245
인천구월 호텔베이204	0	2.5	9.2	0.0	0	5693.6289	42350.9431
프롬에이치 소도 호텔 파주점	0	2.0	8.6	0.0	0	-332.6172	106954.2415
폭스 모텔	0	2.5	8.8	0.0	1	66.5701	44044.9005
호텔 비아	0	2.5	7.2	59213.0	1	1834.6286	120723.9236
호텔 498	0	2.5	8.4	50000.0	1	-150.6141	91544.0778
송도블루호텔	0	2.5	8.0	0.0	1	-1104.9920	85200.0747
브라운도트호텔 수원인계점	0	2.5	8.4	0.0	1	-259.9409	124237.9456
UH FLAT The 송도	0	2.5	8.8	0.0	0	6954.0030	35801.9444
브릿지호텔인천송도	0	2.5	8.4	0.0	0	-3248.5626	146364.8209
뉴서울 호텔	0	3.0	8.0	181688.0	0	-39712.9315	520142.4999
르 서울 호텔	0	3.0	8.8	177067.0	0	1362.4981	300443.6035
라인호텔명동	0	3.0	7.8	213235.0	0	21968.3377	48276.3342
호텔스카이파크 명동2호점	0	3.0	8.2	213235.0	0	-5434.3011	334126.2902
호텔 코지 명동	0	3.0	6.8	177067.0	1	-12792.0973	341448.6789
목시 서울 명동	0	3.0	9.6	177067.0	0	4217.5973	331322.5480
소테츠 프레사 인 서울 명동	0	3.0	8.8	213235.0	0	-4833.4798	360791.1804
스텝인 명동 1	0	3.0	8.4	213235.0	0	13245.8821	164297.8903
호텔스카이파크 명동1호점	0	3.0	8.0	213235.0	0	-3821.6042	324694.7135
이화 인 명동	0	3.0	8.6	213235.0	0	-32162.7639	431931.2158
썬비호텔	0	3.0	9.2	156593.0	0	-1316.8545	343075.8407
트레블로지 명동 을지로 호텔	0	3.0	8.4	213235.0	0	-15261.1803	489957.6511
호텔스카이파크 명동3호점	0	3.0	8.8	213235.0	0	4510.2224	235513.6286
헨나 호텔 서울 명동	0	3.0	8.8	213235.0	0	-18753.2984	509769.8360
호텔 쿠레타케소 인사동 서울	0	3.0	8.4	156593.0	0	732.9929	178510.8146
더 메이 호텔	0	3.0	8.2	156593.0	0	7025.8963	122700.2477
호텔 비즈 종로 인사동	0	3.0	7.4	156593.0	0	1022.4416	93835.3311
트레블로지 명동 남산	0	3.0	8.0	213235.0	0	-9461.5084	397998.3113
센트럴 투어리스트 호텔	0	3.0	6.2	144029.0	0	14102.4581	65009.7195
명동멀린호텔	0	3.0	7.2	213235.0	0	-1129.9929	236813.6480
현대 레지던스 서울	0	3.0	7.6	213235.0	0	11720.7503	47076.5025
에이큐브 호텔	0	3.0	9.0	213235.0	0	38780.1283	115967.6399
트레블로지 동대문 호텔	0	3.0	8.2	213235.0	0	-4598.9383	281712.3731
웨스턴 코업 호텔&레지던스 동대문	0	3.0	7.8	213235.0	0	2380.9087	133292.9251
스타호스텔 동대문 스위트	0	3.0	8.4	156593.0	1	1277.0185	75507.2801
을지로코업레지던스	0	3.0	8.2	0.0	1	1824.5329	139218.2471
호텔 트리쉐이드 동대문	0	3.0	5.6	0.0	0	-2728.0407	142954.8594
호텔 뉴 월드	0	3.0	7.2	162852.0	0	4748.3613	51163.8178
슬로우스테이다	0	3.0	8.0	156593.0	0	-925.9876	134952.9669
롯데시티호텔 마포	0	3.0	9.0	69650.0	0	-1709.4713	275030.6626
호텔 라싸	0	3.0	6.8	172754.0	0	6645.0544	142225.9981
임피리얼 팰리스 부티크 호텔, 이태원	0	3.0	8.0	159737.0	0	-1027.6738	253050.0098
호텔 컬리넌 왕십리	0	3.0	6.2	0.0	0	-645.6524	95812.4448
아모렉스 호텔	0	3.0	6.6	0.0	0	3381.8475	121607.2875
로컬스티치 크리에이터 타운 서교	0	3.0	8.6	172754.0	0	5042.1623	234694.8961
주니비노 호텔 홍대	0	3.0	8.2	122645.0	0	2850.7799	207999.2479
호텔 더 디자이너스 청량리	0	3.0	7.8	0.0	1	-6060.3181	313123.8224
호텔 티롤	0	3.0	7.4	80619.0	0	232.3232	150414.0797
안테룸 서울	0	3.0	8.6	0.0	0	-30302.6789	591891.8439
호텔 선샤인 서울	0	3.0	8.2	0.0	0	-22899.8950	499711.6124
부티크호텔k 동대문점	0	3.0	7.2	80000.0	0	4279.0654	36141.7458
파티오세븐 호텔	0	3.0	8.4	0.0	0	-4099.8770	262084.7306
